id,group_id,name,name_kana,zissen_man_player_id,hokei_man_player_id,zissen_woman_player_id,hokei_woman_player_id,hokei_sonen_player_id
52,14,青木　未有,あおき　みゆ,,,,,
53,14,野口　ゆいこ,のぐち　ゆいこ,,,,,
54,14,村井　円香,むらい　まどか,,,,,
55,14,佐藤　茉奈,さとう　まな,,,,,
56,14,友利　寧唯,ともり　ねい,,,,,
57,14,渡邊　風花,わたなべ　ふうか,,,,,
58,14,伊藤　杏珠,いとう　あんじゅ,,,,,
59,14,飯島　未夢,いいじま　みむ,,,,,
60,14,池田　美璃,いけだ　みり,,,,,
61,14,花澤　栞奈,はなざわ　かんな,,,,,
62,5,佐藤　杏優,さとう　あゆ,,,,4,
63,5,大友　幸美,おおとも　ゆきみ,,,,,2
64,5,齋藤　　梓,さいとう　あずさ,,,,,3
65,5,岡村　健矢,おかむら　けんや,,4,,,
66,5,中村　　晄,なかむら　こう,3,5,,,
67,12,島宮　満,しまみや　みつる,,,,,4
68,1,湊　宏司,みなと　こうじ,4,,,,
69,1,石田　優香,いしだ　ゆうか,,,,,
70,1,萩原　有多朗,はぎわら　ゆうたろう,,,,,
71,1,上田　歩生,うえだ　あゆき,,6,,,
72,1,野波　柾希,のなみ　まさき,,,,,
73,1,古田　若葉,ふるた　わかば,,,,5,
74,1,三浦　知咲歩,みうら　ちさほ,,,,,
75,1,根岸　建人,ねぎし　けんと,,,,,
76,1,青木　寛幸,あおき　ひろゆき,,,,,
77,1,梅野　航世,うめの　こうせい,,,,,
78,1,鈴木　皓介,すずき　こうすけ,,,,,
79,1,千明　良輔,ちぎら　りょうすけ,,,,,
80,1,長濱　顯東,ながはま　けんと,5,,,,
81,1,鳴海　綾乃,なるみ　あやの,,,,,
82,1,水谷　友紀,みずたに　ゆうき,,7,,,
83,1,中元　くれあ,なかもと　くれあ,,,,,
84,1,中田　春陽,なかだ　はるひ,,,,,
85,1,小澤　友朗,おざわ　　ともろう,,,,,
86,1,工藤　汰一,くどう　たいち,,,,,
87,1,間藤　翼,まとう　つばさ,,,,,
88,1,油井　遥大,ゆい　はるた,,,,,
89,1,片野　多惠,かたの　たえ,,,,,
90,22,鈴木　史孝,すずき　ふみたか,,,,,
91,22,森田　太郎,もりた　たろう,,,,,
92,22,杉村　和之,すぎむら　かずゆき,,,,,5
93,22,鈴木　綾乃,すずき　あやの,,,4,,
94,22,村松　俊之介,むらまつ　しゅんのすけ,,,,,
